POI_Name,Location_Type,Store_Lat,Store_Lng,Vicinity
Panda Express,POI,33.431942,-111.865295,"921 North Dobson Road, Mesa"
Matta's Grill & Cantina,POI,33.431942,-111.865295,"1033 North Dobson Road #101, Mesa"
McDonald's,POI,33.431942,-111.865295,"857 N Dobson Rd, Mesa"
El Pollo Loco,POI,33.431942,-111.865295,"949 North Dobson Road, Mesa"
Rubio's,POI,33.431942,-111.865295,"937 North Dobson Road, Mesa"
Arby's,POI,33.431942,-111.865295,"953 North Dobson, Mesa"
Taco Bell,POI,33.431942,-111.865295,"917 North Dobson Road, Mesa"
Subway,POI,33.431942,-111.865295,"937 North Dobson Road #105, Mesa"
Rosati's Sports Pub of Mesa,POI,33.431942,-111.865295,"849 North Dobson Road, Mesa"
Carl's Jr.,POI,33.431942,-111.865295,"1015 North Dobson Road #202, Mesa"
Starbucks,POI,33.431942,-111.865295,"107 Bass Pro Drive, Mesa"
Walmart Bakery,POI,33.431942,-111.865295,"857 North Dobson Road, Mesa"
Walmart Pharmacy,POI,33.431942,-111.865295,"857 N Dobson Rd, Mesa"
Comerica Bank,POI,33.431942,-111.865295,"925 North Dobson Road, Mesa"
Comerica Bank,POI,33.431942,-111.865295,"925 North Dobson Road, Mesa"
ATM (Comerica Bank),POI,33.431942,-111.865295,"925 North Dobson Road, Mesa"
Logan's Roadhouse,POI,33.431942,-111.865295,"945 North Dobson Road, Mesa"
Chili's Grill & Bar,POI,33.431942,-111.865295,"1025 North Dobson Road, Mesa"
The Brass Tap,POI,33.431942,-111.865295,"Mesa Riverview, 1033 North Dobson Road #104, Mesa"
Peter Piper Pizza,POI,33.478722,-112.000982,"3945 East Thomas Road, Phoenix"
Panda Express,POI,33.478722,-112.000982,"3923 E. Thomas Road, Phoenix"
McDonald's,POI,33.478722,-112.000982,"3721 East Thomas Road, Phoenix"
Ono Hawaiian BBQ,POI,33.478722,-112.000982,"3923 E. Thomas Rd., #b4, Phoenix"
Jack in the Box,POI,33.478722,-112.000982,"3545 East Thomas Road, Phoenix"
Arby's,POI,33.478722,-112.000982,"3826 East Thomas Road, Phoenix"
Ole Brass Rail,POI,33.478722,-112.000982,"3738 East Thomas Road, Phoenix"
Don Jose Mexican Food,POI,33.478722,-112.000982,"3734 East Thomas Road, Phoenix"
ATL Wings,POI,33.478722,-112.000982,"3923 East Thomas Road, Phoenix"
KFC,POI,33.478722,-112.000982,"3702 East Thomas Road, Phoenix"
Water & Ice,POI,33.478722,-112.000982,"3911 East Thomas Road # 4, Phoenix"
Helio Basin Brewing Company,POI,33.478722,-112.000982,"3935 East Thomas Road, Phoenix"
Super Oscars,POI,33.478722,-112.000982,"3955 East Thomas Road, Phoenix"
Tacos,POI,33.478722,-112.000982,"2835 North 35th Street, Phoenix"
Walmart Pharmacy,POI,33.478722,-112.000982,"3721 East Thomas Road, Phoenix"
Walgreens Pharmacy,POI,33.478722,-112.000982,"3605 East Thomas Road, Phoenix"
"Bereket Gebre-Egziabher, PHARMD",POI,33.478722,-112.000982,"3605 East Thomas Road, Phoenix"
Walgreens Pharmacy,POI,33.478722,-112.000982,"3605 East Thomas Road, Phoenix"
"Jessica L. Massey, PharmD",POI,33.478722,-112.000982,"3605 East Thomas Road, Phoenix"
"Harjit S. Sodhi, RPh",POI,33.478722,-112.000982,"3605 East Thomas Road, Phoenix, AZ 85018"
"Nathan Riecke, PharmD",POI,33.478722,-112.000982,"3605 East Thomas Road, Phoenix, AZ 85018"
Mack's Pharmacy,POI,33.478722,-112.000982,"3628 East Thomas Road, Phoenix"
First Convenience Bank,POI,33.478722,-112.000982,"3721 East Thomas Road, Phoenix"
First Convenience Bank,POI,33.478722,-112.000982,"3721 East Thomas Road, Phoenix"
Chase ATM,POI,33.478722,-112.000982,"3605 East Thomas Road, Phoenix"
ATM Express,POI,33.478722,-112.000982,"3911 East Thomas Road, Phoenix"
ATM,POI,33.478722,-112.000982,"3800 East Thomas Road, Phoenix"
Access to Money,POI,33.478722,-112.000982,"3640 East Thomas Road, Phoenix"
ATM,POI,33.478722,-112.000982,"3640 East Thomas Road, Phoenix"
"Automated Financial, LLC",POI,33.478722,-112.000982,"3935 East Thomas Road, Phoenix"
ATM,POI,33.478722,-112.000982,"3935 East Thomas Road, Phoenix"
Naughty Nightlife Magazine,POI,33.478722,-112.000982,Phoenix
Ice House Tavern,POI,33.478722,-112.000982,"3855 East Thomas Road, Phoenix"
